timestamp;message
1582648579755;Engage orientation controller!0
1582648580381;Engage orientation controller!0
1582648581384;Engage orientation controller!0
1582648582381;Engage orientation controller!0
1582648583384;Engage orientation controller!0
1582648584383;Engage orientation controller!0
1582648585384;Engage orientation controller!0
1582648586382;Engage orientation controller!0
1582648587382;Engage orientation controller!0
1582648588385;Engage orientation controller!0
1582648608955;setting manual 0 0
1582648609956;setting manual 0 0
1582648610957;setting manual 0 0
1582648611958;setting manual 0 0
1582648612958;setting manual 0 0
1582648613955;setting manual 0 0
1582648614956;setting manual 0 0
1582648615956;setting manual 0 0
1582648616960;setting manual 0 0
1582648617366;
1582648617960;00
1582648618960;01
1582648619960;1
1582648620961;1
1582648621961;1
1582648622961;1
1582648623958;1
1582648624959;1
1582648625960;1
1582648626957;2
1582648627960;2
1582648627963;
1582648628960;00
1582648629961;51
1582648630959;1
1582648631960;1
1582648632960;1
1582648633959;1
1582648634960;1
1582648635960;2
1582648636960;2
1582648636961;
1582648637958;00
1582648638960;-20
1582648639957;-21
1582648640958;1
1582648641959;1
1582648642959;1
1582648643959;1
1582648644956;1
1582648645958;1
1582648646958;1
1582648647958;1
1582648648959;1
1582648649958;1
1582648650959;1
1582648651959;2
1582648652963;2
1582648653962;2
1582648654959;2
1582648655960;2
1582648656962;setting manual 0 0
1582648657957;setting manual 0 0
1582648658956;setting manual 0 0
1582648659962;setting manual 0 0
1582648660967;setting manual 0 0
1582648661962;setting manual 0 0
1582648662959;setting manual 0 0
1582648663961;setting manual 0 0
1582648664960;setting manual 0 0
1582648665967;setting manual 0 0
1582648666958;setting manual 0 0
1582648667961;setting manual 0 0
1582648668961;setting manual 0 0
1582648669961;setting manual 0 0
1582648670966;setting manual 0 0
1582648671962;setting manual 0 0
1582648672962;setting manual 0 0
1582648673962;setting manual 0 0
1582648674963;setting manual 0 0
1582648675962;setting manual 0 0
1582648676964;setting manual 0 0
1582648677961;setting manual 0 0
1582648678962;setting manual 0 0
1582648679961;setting manual 0 0
1582648680963;setting manual 0 0
1582648681960;setting manual 0 0
1582648682962;setting manual 0 0
1582648683965;setting manual 0 0
1582648684964;setting manual 0 0
1582648685961;setting manual 0 0
