timestamp;message;x;y;xg;yg;
1582651418913;0;0;0;100;100;0
1582651419912;0;0;0;100;100;44
1582651420912;1;0;0;100;100;45
1582651421912;1;13;14;100;100;45
1582651422913;1;27;28;100;100;45
1582651423912;1;41;42;100;100;45
1582651424912;1;56;56;100;100;43
1582651425912;1;70;71;100;100;47
1582651426912;1;84;85;100;100;43
1582651427912;2;98;99;100;100;45
1582651428913;2;99;101;100;100;43
1582651429912;0;99;101;200;100;43
1582651430911;1;99;101;200;100;0
1582651431912;1;100;101;200;100;0
1582651432912;1;120;100;200;100;-1
1582651433913;1;140;100;200;100;-1
1582651434912;1;160;100;200;100;-1
1582651435912;1;180;99;200;100;-1
1582651436912;2;200;99;200;100;0
1582651437912;2;200;99;200;100;2
1582651438912;0;200;99;0;200;2
1582651439912;1;200;99;0;200;153
1582651440912;1;200;99;0;200;154
1582651441913;1;182;108;0;200;150
1582651442913;1;164;118;0;200;154
1582651443914;1;146;127;0;200;152
1582651444914;1;129;136;0;200;154
1582651445914;1;110;144;0;200;154
1582651446915;1;93;153;0;200;152
1582651447916;1;75;162;0;200;154
1582651448916;1;57;171;0;200;154
1582651449917;1;40;179;0;200;152
1582651450915;1;22;189;0;200;152
1582651451916;2;4;197;0;200;154
1582651452918;2;0;200;0;200;152
1582651453917;2;0;200;0;200;152
1582651454918;2;0;200;0;200;152
1582651455918;2;0;200;0;200;152
1582651456912;2;0;200;0;200;152
1582651457913;2;0;200;0;200;152
1582651458912;2;0;200;0;200;152
1582651459914;2;0;200;0;200;152
1582651460914;2;0;200;0;200;152
1582651461914;2;0;200;0;200;152
1582651462913;2;0;200;0;200;152
1582651463913;2;0;200;0;200;152
1582651464914;2;0;200;0;200;152
1582651465914;2;0;200;0;200;152
1582651466914;2;0;200;0;200;152
1582651467913;2;0;200;0;200;152
1582651468913;2;0;200;0;200;152
1582651469913;2;0;200;0;200;152
1582651470912;2;0;200;0;200;152
1582651471913;2;0;200;0;200;152
1582651472913;2;0;200;0;200;152
1582651473913;2;0;200;0;200;152
1582651474913;2;0;200;0;200;152
1582651475914;2;0;200;0;200;152
1582651476915;2;0;200;0;200;152
1582651477964;2;0;200;0;200;152
1582651479117;2;0;200;0;200;152
1582651479926;2;0;200;0;200;152
1582651480917;2;0;200;0;200;152
1582651481917;2;0;200;0;200;152
1582651482921;2;0;200;0;200;152
1582651483923;2;0;200;0;200;152
1582651484915;2;0;200;0;200;152
1582651485919;2;0;200;0;200;152
