timestamp;x;y;theta
1582650556391;0;0;0
1582650556410;0;0;0
1582650556429;0;0;0
1582650556450;0;0;0
1582650556470;0;0;0
1582650556490;0;0;0
1582650556511;0;0;0
1582650556531;0;0;0
1582650556550;0;0;0
1582650556570;0;0;0
1582650556589;0;0;0
1582650556610;0;0;0
1582650556629;0;0;0
1582650556652;0;0;0
1582650556671;0;0;0
1582650556689;0;0;0
1582650556709;0;0;0
1582650556729;0;0;0
1582650556754;0;0;0
1582650556772;0;0;0
1582650556791;0;0;0
1582650556809;0;0;0
1582650556830;0;0;0
1582650556853;0;0;0
1582650556875;0;0;0
1582650556890;0;0;0
1582650556909;0;0;0
1582650556929;0;0;0
1582650556949;0;0;0
1582650556971;0;0;0
1582650556990;0;0;0
1582650557009;0;0;0
1582650557029;0;0;0
1582650557055;0;0;0
1582650557078;0;0;0
1582650557092;0;0;0
1582650557109;0;0;0
1582650557141;0;0;0
1582650557149;0;0;0
1582650557174;0;0;0
1582650557192;0;0;0
1582650557211;0;0;0
1582650557230;0;0;0
1582650557250;0;0;0
1582650557271;0;0;0
1582650557292;0;0;0
1582650557314;0;0;0
1582650557330;0;0;0
1582650557355;0;0;0
1582650557375;0;0;0
1582650557391;0;0;0
1582650557409;0;0;0
1582650557429;0;0;0
1582650557451;0;0;0
1582650557470;0;0;0
1582650557489;0;0;0
1582650557509;0;0;0
1582650557528;0;0;0
1582650557554;0;0;0
1582650557573;0;0;0
1582650557590;0;0;0
1582650557609;0;0;0
1582650557631;0;0;0
1582650557651;0;0;0
1582650557671;0;0;0
1582650557690;0;0;0
1582650557709;0;0;0
1582650557730;0;0;0
1582650557753;0;0;0
1582650557772;0;0;0
1582650557790;0;0;0
1582650557809;0;0;0
1582650557830;0;0;0
1582650557849;0;0;0
1582650557873;0;0;0
1582650557890;0;0;0
1582650557909;0;0;0
1582650557929;0;0;0
1582650557949;0;0;0
1582650557971;0;0;0
1582650557991;0;0;0
1582650558009;0;0;0
1582650558030;0;0;0
1582650558055;0;0;0
1582650558073;0;0;0
1582650558092;0;0;0
1582650558110;0;0;0
1582650558143;0;0;0
1582650558149;0;0;0
1582650558171;0;0;0
1582650558191;0;0;0
1582650558209;0;0;0
1582650558230;0;0;0
1582650558249;0;0;0
1582650558271;0;0;0
1582650558289;0;0;0
1582650558309;0;0;0
1582650558330;0;0;0
1582650558351;0;0;0
1582650558370;0;0;0
1582650558390;0;0;0
1582650558410;0;0;0
1582650558431;0;0;0
1582650558455;0;0;0
1582650558471;0;0;0
1582650558490;0;0;0
1582650558509;0;0;0
1582650558530;0;0;0
1582650558554;0;0;0
1582650558571;0;0;0
1582650558590;0;0;0
1582650558609;0;0;0
1582650558630;0;0;0
1582650558652;0;0;0
1582650558671;0;0;0
1582650558690;0;0;0
1582650558709;0;0;0
1582650558730;0;0;0
1582650558756;0;0;0
1582650558777;0;0;0
1582650558793;0;0;0
1582650558809;0;0;0
1582650558830;0;0;0.8959999999999997
1582650558850;0;0;1.7919999999999987
1582650558874;0;0;2.687999999999998
1582650558892;0;0;3.583999999999997
1582650558909;0;0;4.48
1582650558929;0;0;5.376000000000008
1582650558949;0;0;6.272000000000016
1582650558972;0;0;7.168000000000024
1582650558991;0;0;8.064000000000032
1582650559009;0;0;8.96000000000004
1582650559029;0;0;9.856000000000048
1582650559051;0;0;10.752000000000056
1582650559073;0;0;11.648000000000064
1582650559091;0;0;12.544000000000072
1582650559109;0;0;13.44000000000008
1582650559138;0;0;14.336000000000087
1582650559149;0;0;15.232000000000095
1582650559172;0;0;16.1280000000001
1582650559191;0;0;17.024000000000072
1582650559209;0;0;17.920000000000044
1582650559229;0;0;18.816000000000017
1582650559249;0;0;19.71199999999999
1582650559269;0;0;20.60799999999996
1582650559289;0;0;21.503999999999934
1582650559311;0;0;22.399999999999906
1582650559332;0;0;23.29599999999988
1582650559351;0;0;24.19199999999985
1582650559372;0;0;25.087999999999823
1582650559392;0;0;25.983999999999796
1582650559411;0;0;26.879999999999768
1582650559429;0;0;27.77599999999974
1582650559451;0;0;28.671999999999713
1582650559474;0;0;29.567999999999685
1582650559493;0;0;30.463999999999658
1582650559510;0;0;31.35999999999963
1582650559529;0;0;32.255999999999624
1582650559550;0;0;33.15199999999967
1582650559571;0;0;34.04799999999971
1582650559591;0;0;34.943999999999754
1582650559609;0;0;35.8399999999998
1582650559629;0;0;36.73599999999984
1582650559651;0;0;37.631999999999884
1582650559673;0;0;38.52799999999993
1582650559694;0;0;39.42399999999997
1582650559709;0;0;40.320000000000014
1582650559729;0;0;41.21600000000006
1582650559750;0;0;42.1120000000001
1582650559772;0;0;43.008000000000145
1582650559791;0;0;43.90400000000019
1582650559809;0;0;44.80000000000023
1582650559830;0;0;44.816000000000194
1582650559849;0;0;44.83200000000016
1582650559871;0;0;44.84800000000012
1582650559891;0;0;44.86400000000008
1582650559909;0;0;44.880000000000045
1582650559929;0;0;44.89600000000001
1582650559949;0;0;44.91199999999997
1582650559972;0;0;44.92799999999993
1582650559991;0;0;44.943999999999896
1582650560009;0;0;44.95999999999986
1582650560029;0;0;44.97599999999982
1582650560051;0;0;44.991999999999784
1582650560073;0;0;45.00799999999975
1582650560091;0;0;45.02399999999971
1582650560109;0;0;45.03999999999967
1582650560143;0;0;45.055999999999635
1582650560149;0;0;45.0719999999996
1582650560174;0;0;45.08799999999956
1582650560191;0;0;45.10399999999952
1582650560209;0;0;45.119999999999486
1582650560229;0;0;45.13599999999945
1582650560249;0;0;45.15199999999941
1582650560270;0;0;45.167999999999374
1582650560290;0;0;45.18399999999934
1582650560309;0;0;45.1999999999993
1582650560329;0;0;45.21599999999926
1582650560351;0;0;45.231999999999225
1582650560373;0;0;45.24799999999919
1582650560390;0;0;45.26399999999915
1582650560409;0;0;45.27999999999911
1582650560447;0;0;45.295999999999076
1582650560455;0;0;45.31199999999904
1582650560481;0;0;45.327999999999
1582650560497;0;0;45.343999999998964
1582650560510;0;0;45.35999999999893
1582650560529;0;0;45.37599999999889
1582650560550;0;0;45.39199999999885
1582650560570;0;0;45.407999999998815
1582650560593;0;0;45.42399999999878
1582650560609;0;0;45.43999999999874
1582650560629;0;0;45.4559999999987
1582650560649;0;0;45.471999999998665
1582650560670;0;0;45.48799999999863
1582650560690;0;0;45.50399999999859
1582650560709;0;0;45.519999999998554
1582650560729;0;0;45.535999999998516
1582650560750;0;0;45.55199999999848
1582650560769;0;0;45.56799999999844
1582650560789;0;0;45.583999999998404
1582650560809;0;0;45.59999999999837
1582650560830;0.0027986533646525485;0.002857890715985999;45.59999999999837
1582650560849;0.005597306729305101;0.005715781431972;45.59999999999837
1582650560872;0.008395960093957657;0.008573672147958001;45.59999999999837
1582650560891;0.011194613458610213;0.011431562863944002;45.59999999999837
1582650560909;0.01399326682326277;0.014289453579930004;45.59999999999837
1582650560929;0.016791920187915324;0.017147344295915988;45.59999999999837
1582650560949;0.01959057355256788;0.020005235011901955;45.59999999999837
1582650560970;0.022389226917220437;0.02286312572788792;45.59999999999837
1582650560990;0.025187880281872993;0.02572101644387389;45.59999999999837
1582650561009;0.02798653364652555;0.028578907159859855;45.59999999999837
1582650561029;0.030785187011178106;0.03143679787584582;45.59999999999837
1582650561051;0.033583840375830606;0.03429468859183179;45.59999999999837
1582650561072;0.03638249374048309;0.037152579307817755;45.59999999999837
1582650561089;0.03918114710513558;0.04001047002380372;45.59999999999837
1582650561109;0.04197980046978807;0.04286836073978969;45.59999999999837
1582650561139;0.044778453834440554;0.045726251455775656;45.59999999999837
1582650561149;0.04757710719909304;0.04858414217176162;45.59999999999837
1582650561172;0.05037576056374553;0.05144203288774759;45.59999999999837
1582650561199;0.053174413928398015;0.054299923603733556;45.59999999999837
1582650561209;0.0559730672930505;0.05715781431971952;45.59999999999837
1582650561229;0.05877172065770299;0.06001570503570549;45.59999999999837
1582650561249;0.061570374022355476;0.06287359575169146;45.59999999999837
1582650561272;0.06436902738700806;0.06573148646767743;45.59999999999837
1582650561290;0.06716768075166069;0.0685893771836634;45.59999999999837
1582650561309;0.06996633411631331;0.07144726789964936;45.59999999999837
1582650561329;0.07276498748096594;0.07430515861563533;45.59999999999837
1582650561349;0.07556364084561856;0.0771630493316213;45.59999999999837
1582650561370;0.07836229421027119;0.08002094004760726;45.59999999999837
1582650561390;0.08116094757492381;0.08287883076359323;45.59999999999837
1582650561411;0.08395960093957644;0.0857367214795792;45.59999999999837
1582650561432;0.08675825430422907;0.08859461219556516;45.59999999999837
1582650561451;0.08955690766888169;0.09145250291155113;45.59999999999837
1582650561471;0.09235556103353432;0.0943103936275371;45.59999999999837
1582650561489;0.09515421439818694;0.09716828434352306;45.59999999999837
1582650561510;0.09795286776283957;0.10002617505950903;45.59999999999837
1582650561532;0.1007515211274922;0.102884065775495;45.59999999999837
1582650561552;0.10355017449214482;0.10574195649148097;45.59999999999837
1582650561570;0.10634882785679745;0.10859984720746693;45.59999999999837
1582650561590;0.10914748122145007;0.1114577379234529;45.59999999999837
1582650561611;0.1119461345861027;0.11431562863943887;45.59999999999837
1582650561632;0.11474478795075532;0.11717351935542483;45.59999999999837
1582650561652;0.11754344131540795;0.1200314100714108;45.59999999999837
