timestamp;message
1582650558829;0;100;100
1582650559830;1;100;100
1582650560830;1;100;100
1582650561830;1;100;100
1582650562830;1;100;100
1582650563830;1;100;100
1582650564830;1;100;100
1582650565830;1;100;100
1582650566829;1;100;100
1582650567829;2;100;100
1582650568830;2;100;100
1582650569830;0;200;100
1582650570830;1;200;100
1582650571830;1;200;100
1582650572831;1;200;100
1582650573830;1;200;100
1582650574831;1;200;100
1582650575832;1;200;100
1582650576833;2;200;100
1582650577835;2;200;100
1582650578832;2;200;100
1582650579834;2;200;100
1582650580833;2;200;100
1582650581834;2;200;100
1582650582835;2;200;100
1582650583834;2;200;100
1582650584834;2;200;100
1582650585837;2;200;100
1582650586831;2;200;100
1582650587858;2;200;100
1582650588844;2;200;100
1582650589886;2;200;100
1582650590831;2;200;100
1582650591831;2;200;100
1582650592831;2;200;100
1582650593852;2;200;100
1582650594832;2;200;100
1582650595830;2;200;100
1582650596832;2;200;100
1582650597830;2;200;100
1582650598831;2;200;100
1582650599831;2;200;100
1582650600831;2;200;100
1582650601830;2;200;100
1582650602831;2;200;100
1582650603830;2;200;100
1582650604831;2;200;100
1582650605832;2;200;100
1582650606834;2;200;100
1582650607836;2;200;100
1582650608836;2;200;100
1582650609838;2;200;100
1582650610840;2;200;100
1582650611840;2;200;100
1582650612844;2;200;100
1582650613842;2;200;100
1582650614842;2;200;100
1582650615846;2;200;100
1582650616847;2;200;100
1582650617847;2;200;100
1582650618849;2;200;100
1582650619851;2;200;100
1582650620850;2;200;100
1582650621851;2;200;100
1582650622851;2;200;100
1582650623849;2;200;100
1582650624848;2;200;100
1582650625846;2;200;100
1582650626847;2;200;100
1582650627847;2;200;100
1582650628848;2;200;100
1582650629847;2;200;100
1582650630848;2;200;100
1582650631851;2;200;100
1582650632851;2;200;100
1582650633853;2;200;100
1582650634857;2;200;100
1582650635855;2;200;100
1582650636850;2;200;100
1582650637850;2;200;100
